name,city,countryOne,code,lat,lon,type,countryTwo,id
Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202,air,,575d8c1b-d74c-490e-b265-cfabf448f744
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212,-117.8059998,air,,33510ec5-6596-436b-a72e-623ce4276827
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.63559723,-95.84970093,air,,1b422c2f-5a04-43d0-b86c-df835fed9454
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.17359924,-79.93499756,air,,77d30227-1969-4138-8e74-c7585273428d
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.51750183,-73.41690063,air,,784f728f-e452-43a9-832c-17598fccb91b
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.83969879,-115.7829971,air,,b4900e7c-3643-487f-a74f-e568f195e34e
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833,air,,54582d2a-f690-4186-a874-ebe321374b2b
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.77389908,-91.63860321,air,,ace07104-9c01-479a-9953-fea50816f6b3
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962,-77.96669769,air,,3dc88824-7f4c-42ae-89e8-7eeb935cec5f
St Jean Airport,St. Jean,Canada,YJN,45.29439926,-73.28109741,air,,0b9e5113-ff75-4cf5-8e1c-e38038d6efc2
Stephenville Airport,Stephenville,Canada,YJT,48.5442009,-58.54999924,air,,904aa5e8-6831-4a2a-b7b0-7ffa5b74166e
Kamloops Airport,Kamloops,Canada,YKA,50.70220184,-120.4440002,air,,6cde8b3b-de89-436c-98ee-7e116e641802
Waterloo Airport,Waterloo,Canada,YKF,43.46080017,-80.37860107,air,,a07ad5b9-9a58-4f7e-bddd-f691fb601a1c
Schefferville Airport,Schefferville,Canada,YKL,54.80530167,-66.80529785,air,,3be39df7-6d86-4ce7-9d5c-3f261c80c41f
Kindersley Airport,Kindersley,Canada,YKY,51.51750183,-109.1809998,air,,9e0f4efa-4d15-48e2-bc2c-b514862f7386
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169,-79.37000275,air,,870d3ba8-09cd-4772-a46d-737cb15ebc2b
Chapleau Airport,Chapleau,Canada,YLD,47.81999969,-83.34670258,air,,17216583-9f04-4946-b17a-f92bfe8a90d8
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136,-108.5230026,air,,9621fed5-0b02-42a4-a85f-89f0ad4d1942
Lloydminster Airport,Lloydminster,Canada,YLL,53.30920029,-110.072998,air,,80149b2e-944c-435b-a926-588a16757c48
Alert Airport,Alert,Canada,YLT,82.51779938,-62.2806015,air,,d7f18dba-7d5e-4f39-8f74-78250721a54a
Kelowna International Airport,Kelowna,Canada,YLW,49.95610046,-119.3779984,air,,7dc570cb-fcad-46d1-90fa-72e99c338549
Mayo Airport,Mayo,Canada,YMA,63.61640167,-135.8679962,air,,f5e7ed25-dc23-4033-b927-d538207dda3a
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.33029938,-105.5589981,air,,95a88047-865b-4497-bad2-3997d9ed91a2
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.65330124,-111.2220001,air,,4085da9b-4a71-4601-b48e-ab44c3759750
Moosonee Airport,Moosonee,Canada,YMO,51.29109955,-80.60780334,air,,3417123d-4c74-45ad-85e6-a4c55bcf4afa
Maniwaki Airport,Maniwaki,Canada,YMW,46.27280045,-75.99060059,air,,62114e01-bbbb-4d87-af7d-e2ad9892c06d
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696,air,,f83b944e-7428-4241-903d-82e73e1cde03
Natashquan Airport,Natashquan,Canada,YNA,50.18999863,-61.78919983,air,,38eb7aa5-4cb3-4d91-93c4-2bdaeb1c8c3b
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.52170181,-75.56359863,air,,7e0e8dda-a287-4ab0-961b-63e5dd42e99e
